# z, h, chi
2.642642642642642592e+00 3.945982327769756992e+00 4.161876841493703978e+03
2.652652652652652598e+00 3.961542115672307851e+00 4.169466905697548100e+03
2.662662662662662605e+00 3.977126104491090164e+00 4.177027193645489206e+03
2.672672672672672611e+00 3.992734243591150367e+00 4.184557892365257430e+03
2.682682682682682618e+00 4.008366482691812394e+00 4.192059187328246480e+03
2.692692692692692624e+00 4.024022771862831860e+00 4.199531262464886822e+03
2.702702702702702631e+00 4.039703061520582672e+00 4.206974300179850616e+03
2.712712712712712637e+00 4.055407302424310245e+00 4.214388481367105669e+03
2.722722722722722644e+00 4.071135445672426023e+00 4.221773985424794773e+03
2.732732732732732650e+00 4.086887442698850847e+00 4.229130990269966787e+03
2.742742742742742657e+00 4.102663245269420500e+00 4.236459672353155838e+03
2.752752752752752663e+00 4.118462805478315225e+00 4.243760206672786808e+03
2.762762762762762669e+00 4.134286075744561195e+00 4.251032766789450761e+03
2.772772772772772676e+00 4.150133008808565727e+00 4.258277524840008482e+03
2.782782782782782682e+00 4.166003557728699569e+00 4.265494651551554853e+03
2.792792792792792689e+00 4.181897675877924492e+00 4.272684316255232261e+03
2.802802802802802695e+00 4.197815316940473274e+00 4.279846686899891210e+03
2.812812812812812702e+00 4.213756434908559001e+00 4.286981930065609959e+03
2.822822822822822708e+00 4.229720984079143875e+00 4.294090210977075003e+03
2.832832832832832715e+00 4.245708919050737329e+00 4.301171693516797859e+03
2.842842842842842721e+00 4.261720194720242105e+00 4.308226540238217240e+03
2.852852852852852727e+00 4.277754766279846521e+00 4.315254912378642985e+03
2.862862862862862734e+00 4.293812589213945152e+00 4.322256969872061745e+03
2.872872872872872740e+00 4.309893619296115475e+00 4.329232871361818070e+03
2.882882882882882747e+00 4.325997812586116709e+00 4.336182774213143603e+03
2.892892892892892753e+00 4.342125125426946397e+00 4.343106834525564409e+03
2.902902902902902760e+00 4.358275514441909415e+00 4.350005207145166423e+03
2.912912912912912766e+00 4.374448936531764254e+00 4.356878045676737202e+03
2.922922922922922773e+00 4.390645348871864861e+00 4.363725502495770343e+03
2.932932932932932779e+00 4.406864708909359329e+00 4.370547728760343489e+03
2.942942942942942786e+00 4.423106974360440979e+00 4.377344874422871726e+03
2.952952952952952792e+00 4.439372103207593234e+00 4.384117088241730016e+03
2.962962962962962798e+00 4.455660053696905543e+00 4.390864517792754668e+03
2.972972972972972805e+00 4.471970784335421278e+00 4.397587309480619297e+03
2.982982982982982811e+00 4.488304253888492745e+00 4.404285608550088000e+03
2.992992992992992818e+00 4.504660421377198354e+00 4.410959559097152123e+03
3.003003003003002824e+00 4.521039246075783780e+00 4.417609304080040602e+03
3.013013013013012831e+00 4.537440687509127102e+00 4.424234985330117524e+03
3.023023023023022837e+00 4.553864705450253680e+00 4.430836743562662377e+03
3.033033033033032844e+00 4.570311259917859914e+00 4.437414718387529319e+03
3.043043043043042850e+00 4.586780311173891178e+00 4.443969048319701869e+03
3.053053053053052857e+00 4.603271819721138414e+00 4.450499870789722081e+03
3.063063063063062863e+00 4.619785746300864027e+00 4.457007322154020585e+03
3.073073073073072869e+00 4.636322051890460649e+00 4.463491537705123847e+03
3.083083083083082876e+00 4.652880697701140100e+00 4.469952651681764110e+03
3.093093093093092882e+00 4.669461645175653430e+00 4.476390797278869286e+03
3.103103103103102889e+00 4.686064855986031397e+00 4.482806106657456439e+03
3.113113113113112895e+00 4.702690292031365793e+00 4.489198710954409762e+03
3.123123123123122902e+00 4.719337915435601438e+00 4.495568740292162147e+03
3.133133133133132908e+00 4.736007688545374350e+00 4.501916323788268528e+03
3.143143143143142915e+00 4.752699573927861465e+00 4.508241589564876449e+03
3.153153153153152921e+00 4.769413534368671215e+00 4.514544664758098406e+03
3.163163163163162928e+00 4.786149532869744760e+00 4.520825675527285057e+03
3.173173173173172934e+00 4.802907532647289202e+00 4.527084747064190196e+03
3.183183183183182940e+00 4.819687497129748976e+00 4.533322003602053883e+03
3.193193193193192947e+00 4.836489389955784368e+00 4.539537568424571873e+03
3.203203203203202953e+00 4.853313174972278432e+00 4.545731563874781386e+03
3.213213213213213404e+00 4.870158816232379451e+00 4.551904111363845004e+03
3.223223223223223410e+00 4.887026277993550494e+00 4.558055331379749077e+03
3.233233233233233417e+00 4.903915524715662499e+00 4.564185343495898451e+03
3.243243243243243423e+00 4.920826521059092684e+00 4.570294266379630244e+03
3.253253253253253430e+00 4.937759231882851374e+00 4.576382217800632134e+03
