# spectrum_type, zbin0, zbin1, separation, value
c_dcmbk 0 0 0.000000000000000000e+00 7.892956336601969025e-07
c_dcmbk 0 0 1.000000000000000000e+00 8.694146922875211264e-07
c_dcmbk 0 0 2.000000000000000000e+00 9.318694922390710286e-07
c_dcmbk 0 0 3.000000000000000000e+00 9.788526410381576747e-07
c_dcmbk 0 0 4.000000000000000000e+00 1.012556746208103989e-06
c_dcmbk 0 0 5.000000000000000000e+00 1.035174415272229929e-06
c_dcmbk 0 0 6.000000000000000000e+00 1.048898255753860963e-06
c_dcmbk 0 0 7.000000000000000000e+00 1.055920875176331659e-06
c_dcmbk 0 0 8.000000000000000000e+00 1.058434881062948001e-06
c_dcmbk 0 0 9.000000000000000000e+00 1.058632880937036301e-06
c_dcmbk 0 0 1.000000000000000000e+01 1.058707482321918849e-06
c_dcmbk 0 0 1.100000000000000000e+01 1.060851292740917720e-06
c_dcmbk 0 0 1.200000000000000000e+01 1.067256919717353933e-06
c_dcmbk 0 0 1.300000000000000000e+01 1.080116970713494160e-06
c_dcmbk 0 0 1.400000000000000000e+01 1.100551248091385609e-06
c_dcmbk 0 0 1.500000000000000000e+01 1.125440030656198543e-06
c_dcmbk 0 0 1.600000000000000000e+01 1.151209588030341075e-06
c_dcmbk 0 0 1.700000000000000000e+01 1.175672205395878315e-06
c_dcmbk 0 0 1.800000000000000000e+01 1.197294538573898538e-06
c_dcmbk 0 0 1.900000000000000000e+01 1.215862693083264356e-06
c_dcmbk 0 0 2.000000000000000000e+01 1.231398537743902095e-06
c_dcmbk 0 0 2.100000000000000000e+01 1.243916780744563510e-06
c_dcmbk 0 0 2.200000000000000000e+01 1.253428397970378021e-06
c_dcmbk 0 0 2.300000000000000000e+01 1.259964260589926640e-06
c_dcmbk 0 0 2.400000000000000000e+01 1.263623962115021311e-06
c_dcmbk 0 0 2.500000000000000000e+01 1.264521899421461840e-06
c_dcmbk 0 0 2.600000000000000000e+01 1.262777808257359710e-06
c_dcmbk 0 0 2.700000000000000000e+01 1.258534348682860363e-06
c_dcmbk 0 0 2.800000000000000000e+01 1.251940332431414221e-06
c_dcmbk 0 0 2.900000000000000000e+01 1.243145949465542364e-06
c_dcmbk 0 0 3.000000000000000000e+01 1.232337513657365608e-06
c_dcmbk 0 0 3.100000000000000000e+01 1.219740107718271717e-06
c_dcmbk 0 0 3.200000000000000000e+01 1.205580722327173568e-06
c_dcmbk 0 0 3.300000000000000000e+01 1.190086683719399822e-06
c_dcmbk 0 0 3.400000000000000000e+01 1.173493855709496306e-06
c_dcmbk 0 0 3.500000000000000000e+01 1.156047121599112297e-06
c_dcmbk 0 0 3.600000000000000000e+01 1.137991796718997185e-06
c_dcmbk 0 0 3.700000000000000000e+01 1.119573196399900784e-06
c_dcmbk 0 0 3.800000000000000000e+01 1.101018729339642203e-06
c_dcmbk 0 0 3.900000000000000000e+01 1.082466259038407769e-06
c_dcmbk 0 0 4.000000000000000000e+01 1.064025715857050276e-06
c_dcmbk 0 0 4.100000000000000000e+01 1.045807020941529487e-06
c_dcmbk 0 0 4.200000000000000000e+01 1.027920095437806008e-06
c_dcmbk 0 0 4.300000000000000000e+01 1.010467128387591562e-06
c_dcmbk 0 0 4.400000000000000000e+01 9.934795814345408606e-07
c_dcmbk 0 0 4.500000000000000000e+01 9.769509924571557734e-07
c_dcmbk 0 0 4.600000000000000000e+01 9.608745380481317454e-07
c_dcmbk 0 0 4.700000000000000000e+01 9.452433948001629506e-07
c_dcmbk 0 0 4.800000000000000000e+01 9.300507393059440926e-07
c_dcmbk 0 0 4.900000000000000000e+01 9.152876900580845138e-07
c_dcmbk 0 0 5.000000000000000000e+01 9.009309982031638453e-07
c_dcmbk 0 0 5.100000000000000000e+01 8.869512911931734431e-07
c_dcmbk 0 0 5.200000000000000000e+01 8.733191737515137353e-07
c_dcmbk 0 0 5.300000000000000000e+01 8.600052506015847268e-07
c_dcmbk 0 0 5.400000000000000000e+01 8.469801264667873752e-07
c_dcmbk 0 0 5.500000000000000000e+01 8.342144074364354751e-07
c_dcmbk 0 0 5.600000000000000000e+01 8.216831889441530107e-07
c_dcmbk 0 0 5.700000000000000000e+01 8.093760480907549974e-07
c_dcmbk 0 0 5.800000000000000000e+01 7.972854765105938047e-07
c_dcmbk 0 0 5.900000000000000000e+01 7.854039658380220140e-07
c_dcmbk 0 0 6.000000000000000000e+01 7.737240077073922066e-07
c_dcmbk 0 0 6.100000000000000000e+01 7.622380937530566460e-07
c_dcmbk 0 0 6.200000000000000000e+01 7.509387156093683371e-07
c_dcmbk 0 0 6.300000000000000000e+01 7.398185698569157178e-07
c_dcmbk 0 0 6.400000000000000000e+01 7.288792469812795337e-07
c_dcmbk 0 0 6.500000000000000000e+01 7.181344575830756767e-07
c_dcmbk 0 0 6.600000000000000000e+01 7.075987818889329492e-07
c_dcmbk 0 0 6.700000000000000000e+01 6.972868001254802595e-07
c_dcmbk 0 0 6.800000000000000000e+01 6.872130925193468336e-07
c_dcmbk 0 0 6.900000000000000000e+01 6.773922392971626384e-07
c_dcmbk 0 0 7.000000000000000000e+01 6.678388206855555236e-07
c_dcmbk 0 0 7.100000000000000000e+01 6.585674169111559855e-07
c_dcmbk 0 0 7.200000000000000000e+01 6.495918453072994814e-07
c_dcmbk 0 0 7.300000000000000000e+01 6.409151558540069916e-07
c_dcmbk 0 0 7.400000000000000000e+01 6.325324291020237257e-07
c_dcmbk 0 0 7.500000000000000000e+01 6.244385582249074790e-07
c_dcmbk 0 0 7.600000000000000000e+01 6.166284363962162587e-07
c_dcmbk 0 0 7.700000000000000000e+01 6.090969567895074364e-07
c_dcmbk 0 0 7.800000000000000000e+01 6.018390125783390192e-07
c_dcmbk 0 0 7.900000000000000000e+01 5.948494969362686964e-07
c_dcmbk 0 0 8.000000000000000000e+01 5.881233030368546870e-07
c_dcmbk 0 0 8.100000000000000000e+01 5.816553240536542567e-07
c_dcmbk 0 0 8.200000000000000000e+01 5.754399075989118539e-07
c_dcmbk 0 0 8.300000000000000000e+01 5.694638676217150004e-07
c_dcmbk 0 0 8.400000000000000000e+01 5.637085246506617018e-07
c_dcmbk 0 0 8.500000000000000000e+01 5.581550745036319083e-07
c_dcmbk 0 0 8.600000000000000000e+01 5.527847129985050407e-07
c_dcmbk 0 0 8.700000000000000000e+01 5.475786359531610491e-07
c_dcmbk 0 0 8.800000000000000000e+01 5.425180391854794602e-07
c_dcmbk 0 0 8.900000000000000000e+01 5.375841185133400124e-07
c_dcmbk 0 0 9.000000000000000000e+01 5.327580697546222323e-07
c_dcmbk 0 0 9.100000000000000000e+01 5.280210887272060702e-07
c_dcmbk 0 0 9.200000000000000000e+01 5.233543712489712644e-07
c_dcmbk 0 0 9.300000000000000000e+01 5.187391386377960047e-07
c_dcmbk 0 0 9.400000000000000000e+01 5.141605396344834652e-07
c_dcmbk 0 0 9.500000000000000000e+01 5.096118515137254425e-07
c_dcmbk 0 0 9.600000000000000000e+01 5.050873593921977814e-07
c_dcmbk 0 0 9.700000000000000000e+01 5.005813483865760096e-07
c_dcmbk 0 0 9.800000000000000000e+01 4.960881036135363954e-07
c_dcmbk 0 0 9.900000000000000000e+01 4.916019101897543605e-07
c_dcmbk 0 0 1.000000000000000000e+02 4.871170532319058557e-07
c_dcmbk 0 0 1.010000000000000000e+02 4.826278178566666204e-07
c_dcmbk 0 0 1.020000000000000000e+02 4.781284891807123935e-07
c_dcmbk 0 0 1.030000000000000000e+02 4.736133523207189143e-07
c_dcmbk 0 0 1.040000000000000000e+02 4.690766923933620808e-07
c_dcmbk 0 0 1.050000000000000000e+02 4.645127945153176851e-07
c_dcmbk 0 0 1.060000000000000000e+02 4.599159664447598841e-07
c_dcmbk 0 0 1.070000000000000000e+02 4.552836069860755124e-07
c_dcmbk 0 0 1.080000000000000000e+02 4.506193171772744718e-07
c_dcmbk 0 0 1.090000000000000000e+02 4.459274392294659347e-07
c_dcmbk 0 0 1.100000000000000000e+02 4.412123153537600794e-07
c_dcmbk 0 0 1.110000000000000000e+02 4.364782877612663430e-07
c_dcmbk 0 0 1.120000000000000000e+02 4.317296986630943744e-07
c_dcmbk 0 0 1.130000000000000000e+02 4.269708902703540341e-07
c_dcmbk 0 0 1.140000000000000000e+02 4.222062047941547593e-07
c_dcmbk 0 0 1.150000000000000000e+02 4.174399844456065165e-07
c_dcmbk 0 0 1.160000000000000000e+02 4.126765714358187957e-07
c_dcmbk 0 0 1.170000000000000000e+02 4.079203079759014575e-07
c_dcmbk 0 0 1.180000000000000000e+02 4.031755362769639920e-07
c_dcmbk 0 0 1.190000000000000000e+02 3.984465985501162598e-07
c_dcmbk 0 0 1.200000000000000000e+02 3.937378370064678040e-07
c_dcmbk 0 0 1.210000000000000000e+02 3.890535746456582234e-07
c_dcmbk 0 0 1.220000000000000000e+02 3.843975076663821911e-07
c_dcmbk 0 0 1.230000000000000000e+02 3.797725813789384638e-07
c_dcmbk 0 0 1.240000000000000000e+02 3.751816968105645391e-07
c_dcmbk 0 0 1.250000000000000000e+02 3.706277549884977027e-07
