# spectrum_type, zbin0, zbin1, separation, value
c_dcmbk 0 0 0.000000000000000000e+00 0.000000000000000000e+00
c_dcmbk 0 0 8.899641653093008295e-03 2.326534831730768929e+04
c_dcmbk 0 0 1.539332528288165670e-02 2.784956464120369856e+04
c_dcmbk 0 0 2.155046762996598239e-02 2.686557521929824361e+04
c_dcmbk 0 0 2.783660762585126597e-02 2.291048304843304504e+04
c_dcmbk 0 0 3.439928854529101382e-02 1.947645556891025990e+04
c_dcmbk 0 0 4.083988908678293228e-02 1.687984296874999927e+04
c_dcmbk 0 0 4.696089820801348236e-02 1.460582685990338541e+04
c_dcmbk 0 0 5.319831544433587661e-02 1.283842433035714021e+04
c_dcmbk 0 0 5.953007160048735813e-02 1.187483488304093589e+04
c_dcmbk 0 0 6.593106050382960270e-02 1.093496918414918218e+04
c_dcmbk 0 0 7.211112823241795644e-02 1.021065514957264531e+04
c_dcmbk 0 0 7.840743265709380905e-02 8.923269253438113083e+03
c_dcmbk 0 0 8.486374147573563786e-02 8.027863250782806062e+03
c_dcmbk 0 0 9.105720993371453631e-02 6.884668125165737365e+03
c_dcmbk 0 0 9.723119438183111529e-02 6.364863540983605162e+03
c_dcmbk 0 0 1.035474523099094157e-01 5.556101638050127804e+03
c_dcmbk 0 0 1.098380096325790867e-01 5.135763233779608527e+03
c_dcmbk 0 0 1.160878800454857029e-01 4.887037874487542467e+03
c_dcmbk 0 0 1.223769048302436324e-01 4.609478309078308484e+03
c_dcmbk 0 0 1.287591547856025143e-01 4.277587884401630618e+03
c_dcmbk 0 0 1.350589943281513827e-01 4.036970738270737456e+03
c_dcmbk 0 0 1.412290290659165837e-01 3.847537855090967241e+03
c_dcmbk 0 0 1.475161690700088069e-01 3.441292830009495901e+03
c_dcmbk 0 0 1.537996369822966225e-01 3.201222062804547477e+03
c_dcmbk 0 0 1.601026478659483554e-01 2.960803533062783572e+03
c_dcmbk 0 0 1.664508001660549019e-01 2.808966544817607428e+03
c_dcmbk 0 0 1.727583237560037233e-01 2.668886310138344925e+03
c_dcmbk 0 0 1.790245845132147351e-01 2.468934335485606880e+03
c_dcmbk 0 0 1.852702546080971790e-01 2.430175478166726862e+03
c_dcmbk 0 0 1.914887492119529966e-01 2.312986272780717172e+03
c_dcmbk 0 0 1.977904085892937536e-01 2.135704747727985250e+03
c_dcmbk 0 0 2.041115446406587541e-01 2.071871310770476157e+03
c_dcmbk 0 0 2.104256850836569714e-01 1.921084860818712968e+03
c_dcmbk 0 0 2.167058561960866769e-01 1.801547069671209783e+03
c_dcmbk 0 0 2.229761248051159717e-01 1.710928747062773027e+03
c_dcmbk 0 0 2.292828550697881274e-01 1.638980810853822959e+03
c_dcmbk 0 0 2.355310205895554676e-01 1.559987346067330236e+03
c_dcmbk 0 0 2.418144967727207939e-01 1.517856686243103695e+03
c_dcmbk 0 0 2.481043196360692704e-01 1.412657625328016593e+03
c_dcmbk 0 0 2.543667409246888611e-01 1.354175883271520661e+03
c_dcmbk 0 0 2.606678092543103231e-01 1.332556060883917098e+03
c_dcmbk 0 0 2.669430136113040697e-01 1.257766906944320908e+03
c_dcmbk 0 0 2.732519464783976226e-01 1.191123110300417011e+03
c_dcmbk 0 0 2.795627339315375770e-01 1.137124702717245327e+03
c_dcmbk 0 0 2.858373502475139438e-01 1.102683563783479713e+03
c_dcmbk 0 0 2.920953075698756729e-01 1.052506159609039742e+03
c_dcmbk 0 0 2.983525092968341563e-01 1.020356465982088366e+03
c_dcmbk 0 0 3.046702740008471189e-01 9.709870360396748765e+02
c_dcmbk 0 0 3.109590627528140416e-01 9.332420394608320748e+02
c_dcmbk 0 0 3.172239916515500191e-01 9.044897917320774923e+02
c_dcmbk 0 0 3.235299724572279767e-01 8.665006137390721506e+02
c_dcmbk 0 0 3.298388395071043533e-01 8.357547474044426963e+02
c_dcmbk 0 0 3.361383844359337458e-01 8.038278001730263895e+02
c_dcmbk 0 0 3.423877713306480719e-01 7.626797949555436844e+02
c_dcmbk 0 0 3.486623155692267217e-01 7.547283495477043971e+02
c_dcmbk 0 0 3.549448882949312045e-01 7.276084216163743577e+02
c_dcmbk 0 0 3.611996781549324798e-01 7.003312185686652356e+02
c_dcmbk 0 0 3.674875026172954029e-01 6.757520282350038769e+02
c_dcmbk 0 0 3.737698636248200090e-01 6.612720977934634448e+02
c_dcmbk 0 0 3.800714314497639634e-01 6.291915434891903942e+02
c_dcmbk 0 0 3.863585763589229560e-01 6.153992624869559904e+02
c_dcmbk 0 0 3.926354401118986037e-01 5.947124657050497945e+02
c_dcmbk 0 0 3.989457585494922132e-01 5.676251605507575277e+02
c_dcmbk 0 0 4.052156663313305485e-01 5.548876984435295299e+02
c_dcmbk 0 0 4.115034152883392804e-01 5.372774721796090489e+02
c_dcmbk 0 0 4.177905076349040514e-01 5.275424692348849476e+02
c_dcmbk 0 0 4.240487051047501788e-01 5.047976651573205231e+02
c_dcmbk 0 0 4.303463415118498614e-01 4.904696279756871604e+02
c_dcmbk 0 0 4.366358695421740932e-01 4.753322904634608221e+02
c_dcmbk 0 0 4.429029287921816826e-01 4.617752502703455093e+02
c_dcmbk 0 0 4.491680252572889942e-01 4.475099200149971352e+02
c_dcmbk 0 0 4.554486850820457788e-01 4.396746542708900165e+02
c_dcmbk 0 0 4.617725565885423267e-01 4.209002555984781111e+02
c_dcmbk 0 0 4.680757412093953795e-01 4.136818450746296776e+02
