# spectrum_type, zbin0, zbin1, separation, value
c_dcmbk 0 0 0.000000000000000000e+00 9.883765281369094477e-07
c_dcmbk 0 0 1.000000000000000000e+00 1.021971021407101329e-06
c_dcmbk 0 0 2.000000000000000000e+00 1.045763156954590014e-06
c_dcmbk 0 0 3.000000000000000000e+00 1.061223916731390967e-06
c_dcmbk 0 0 4.000000000000000000e+00 1.069824282689567936e-06
c_dcmbk 0 0 5.000000000000000000e+00 1.073035236781155233e-06
c_dcmbk 0 0 6.000000000000000000e+00 1.072327760958182088e-06
c_dcmbk 0 0 7.000000000000000000e+00 1.069172837172701024e-06
c_dcmbk 0 0 8.000000000000000000e+00 1.065041447376748894e-06
c_dcmbk 0 0 9.000000000000000000e+00 1.061404573522365093e-06
c_dcmbk 0 0 1.000000000000000000e+01 1.059733197561591133e-06
c_dcmbk 0 0 1.100000000000000000e+01 1.061498301446467255e-06
c_dcmbk 0 0 1.200000000000000000e+01 1.068170867129033277e-06
c_dcmbk 0 0 1.300000000000000000e+01 1.081221876513805387e-06
c_dcmbk 0 0 1.400000000000000000e+01 1.101287261806662510e-06
c_dcmbk 0 0 1.500000000000000000e+01 1.125702480737374340e-06
c_dcmbk 0 0 1.600000000000000000e+01 1.151314931661194075e-06
c_dcmbk 0 0 1.700000000000000000e+01 1.175737036434113398e-06
c_dcmbk 0 0 1.800000000000000000e+01 1.197234486534425169e-06
c_dcmbk 0 0 1.900000000000000000e+01 1.215644185129644678e-06
c_dcmbk 0 0 2.000000000000000000e+01 1.231075302599020576e-06
c_dcmbk 0 0 2.100000000000000000e+01 1.243553501460351431e-06
c_dcmbk 0 0 2.200000000000000000e+01 1.253060895778114154e-06
c_dcmbk 0 0 2.300000000000000000e+01 1.259602646616017250e-06
c_dcmbk 0 0 2.400000000000000000e+01 1.263264694302288567e-06
c_dcmbk 0 0 2.500000000000000000e+01 1.264150379690212419e-06
c_dcmbk 0 0 2.600000000000000000e+01 1.262370998938543437e-06
c_dcmbk 0 0 2.700000000000000000e+01 1.258072007087220958e-06
c_dcmbk 0 0 2.800000000000000000e+01 1.251408025613858954e-06
c_dcmbk 0 0 2.900000000000000000e+01 1.242535094459267192e-06
c_dcmbk 0 0 3.000000000000000000e+01 1.231646431112255336e-06
c_dcmbk 0 0 3.100000000000000000e+01 1.218975152684865912e-06
c_dcmbk 0 0 3.200000000000000000e+01 1.204756339907007331e-06
c_dcmbk 0 0 3.300000000000000000e+01 1.189225179021894052e-06
c_dcmbk 0 0 3.400000000000000000e+01 1.172619540853247998e-06
c_dcmbk 0 0 3.500000000000000000e+01 1.155180132337775882e-06
c_dcmbk 0 0 3.600000000000000000e+01 1.137147796260633137e-06
c_dcmbk 0 0 3.700000000000000000e+01 1.118763375406975834e-06
c_dcmbk 0 0 3.800000000000000000e+01 1.100250287560000008e-06
c_dcmbk 0 0 3.900000000000000000e+01 1.081744813783769313e-06
c_dcmbk 0 0 4.000000000000000000e+01 1.063356053314835148e-06
c_dcmbk 0 0 4.100000000000000000e+01 1.045193096422708522e-06
c_dcmbk 0 0 4.200000000000000000e+01 1.027365033376899806e-06
c_dcmbk 0 0 4.300000000000000000e+01 1.009973060473233251e-06
c_dcmbk 0 0 4.400000000000000000e+01 9.930461659512062738e-07
