# spectrum_type, zbin0, zbin1, separation, value
c_dk 0 0 0.000000000000000000e+00 0.000000000000000000e+00
c_dk 0 0 8.899641653093008295e-03 2.326534831730768929e+04
c_dk 0 0 1.539332528288165670e-02 2.784956464120369856e+04
c_dk 0 0 2.155046762996598239e-02 2.686557521929824361e+04
c_dk 0 0 2.783660762585126597e-02 2.291048304843304504e+04
c_dk 0 0 3.439928854529101382e-02 1.947645556891025990e+04
c_dk 0 0 4.083988908678293228e-02 1.687984296874999927e+04
c_dk 0 0 4.696089820801348236e-02 1.460582685990338541e+04
c_dk 0 0 5.319831544433587661e-02 1.283842433035714021e+04
c_dk 0 0 5.953007160048735813e-02 1.187483488304093589e+04
c_dk 0 0 6.593106050382960270e-02 1.093496918414918218e+04
c_dk 0 0 7.211112823241795644e-02 1.021065514957264531e+04
c_dk 0 0 7.840743265709380905e-02 8.923269253438113083e+03
c_dk 0 0 8.486374147573563786e-02 8.027863250782806062e+03
c_dk 0 0 9.105720993371453631e-02 6.884668125165737365e+03
c_dk 0 0 9.723119438183111529e-02 6.364863540983605162e+03
c_dk 0 0 1.035474523099094157e-01 5.556101638050127804e+03
c_dk 0 0 1.098380096325790867e-01 5.135763233779608527e+03
c_dk 0 0 1.160878800454857029e-01 4.887037874487542467e+03
c_dk 0 0 1.223769048302436324e-01 4.609478309078308484e+03
c_dk 0 0 1.287591547856025143e-01 4.277587884401630618e+03
c_dk 0 0 1.350589943281513827e-01 4.036970738270737456e+03
c_dk 0 0 1.412290290659165837e-01 3.847537855090967241e+03
c_dk 0 0 1.475161690700088069e-01 3.441292830009495901e+03
c_dk 0 0 1.537996369822966225e-01 3.201222062804547477e+03
c_dk 0 0 1.601026478659483554e-01 2.960803533062783572e+03
c_dk 0 0 1.664508001660549019e-01 2.808966544817607428e+03
c_dk 0 0 1.727583237560037233e-01 2.668886310138344925e+03
c_dk 0 0 1.790245845132147351e-01 2.468934335485606880e+03
c_dk 0 0 1.852702546080971790e-01 2.430175478166726862e+03
c_dk 0 0 1.914887492119529966e-01 2.312986272780717172e+03
c_dk 0 0 1.977904085892937536e-01 2.135704747727985250e+03
c_dk 0 0 2.041115446406587541e-01 2.071871310770476157e+03
c_dk 0 0 2.104256850836569714e-01 1.921084860818712968e+03
c_dk 0 0 2.167058561960866769e-01 1.801547069671209783e+03
c_dk 0 0 2.229761248051159717e-01 1.710928747062773027e+03
c_dk 0 0 2.292828550697881274e-01 1.638980810853822959e+03
c_dk 0 0 2.355310205895554676e-01 1.559987346067330236e+03
c_dk 0 0 2.418144967727207939e-01 1.517856686243103695e+03
c_dk 0 0 2.481043196360692704e-01 1.412657625328016593e+03
c_dk 0 0 2.543667409246888611e-01 1.354175883271520661e+03
c_dk 0 0 2.606678092543103231e-01 1.332556060883917098e+03
c_dk 0 0 2.669430136113040697e-01 1.257766906944320908e+03
c_dk 0 0 2.732519464783976226e-01 1.191123110300417011e+03
c_dk 0 0 2.795627339315375770e-01 1.137124702717245327e+03
c_dk 0 0 2.858373502475139438e-01 1.102683563783479713e+03
c_dk 0 0 2.920953075698756729e-01 1.052506159609039742e+03
c_dk 0 0 2.983525092968341563e-01 1.020356465982088366e+03
c_dk 0 0 3.046702740008471189e-01 9.709870360396748765e+02
c_dk 0 0 3.109590627528140416e-01 9.332420394608320748e+02
c_dk 0 0 3.172239916515500191e-01 9.044897917320774923e+02
c_dk 0 0 3.235299724572279767e-01 8.665006137390721506e+02
c_dk 0 0 3.298388395071043533e-01 8.357547474044426963e+02
c_dk 0 0 3.361383844359337458e-01 8.038278001730263895e+02
c_dk 0 0 3.423877713306480719e-01 7.626797949555436844e+02
c_dk 0 0 3.486623155692267217e-01 7.547283495477043971e+02
c_dk 0 0 3.549448882949312045e-01 7.276084216163743577e+02
c_dk 0 0 3.611996781549324798e-01 7.003312185686652356e+02
c_dk 0 0 3.674875026172954029e-01 6.757520282350038769e+02
c_dk 0 0 3.737698636248200090e-01 6.612720977934634448e+02
c_dk 0 0 3.800714314497639634e-01 6.291915434891903942e+02
c_dk 0 0 3.863585763589229560e-01 6.153992624869559904e+02
c_dk 0 0 3.926354401118986037e-01 5.947124657050497945e+02
c_dk 0 0 3.989457585494922132e-01 5.676251605507575277e+02
c_dk 0 0 4.052156663313305485e-01 5.548876984435295299e+02
c_dk 0 0 4.115034152883392804e-01 5.372774721796090489e+02
c_dk 0 0 4.177905076349040514e-01 5.275424692348849476e+02
c_dk 0 0 4.240487051047501788e-01 5.047976651573205231e+02
c_dk 0 0 4.303463415118498614e-01 4.904696279756871604e+02
c_dk 0 0 4.366358695421740932e-01 4.753322904634608221e+02
c_dk 0 0 4.429029287921816826e-01 4.617752502703455093e+02
c_dk 0 0 4.491680252572889942e-01 4.475099200149971352e+02
c_dk 0 0 4.554486850820457788e-01 4.396746542708900165e+02
c_dk 0 0 4.617725565885423267e-01 4.209002555984781111e+02
c_dk 0 0 4.680757412093953795e-01 4.136818450746296776e+02
c_dk 0 0 4.743564916629640638e-01 4.086098922344017979e+02
c_dk 0 0 4.806425428564732871e-01 3.862666466329735613e+02
c_dk 0 0 4.869129233098823395e-01 3.802577058745525278e+02
c_dk 0 0 4.931745196394184405e-01 3.721837876155156550e+02
c_dk 0 0 4.994506890543656263e-01 3.592074800601766356e+02
c_dk 0 0 5.057241638978529075e-01 3.520778953151779547e+02
c_dk 0 0 5.120042719980517631e-01 3.459477940589634386e+02
c_dk 0 0 5.183192340646139984e-01 3.355627074343865388e+02
c_dk 0 0 5.246161892892522438e-01 3.269214532476149770e+02
c_dk 0 0 5.308869673046785476e-01 3.209956254664875814e+02
c_dk 0 0 5.371637224096752483e-01 3.073072415387727574e+02
c_dk 0 0 5.434652729571635144e-01 3.046771224592523595e+02
c_dk 0 0 5.497524178004593587e-01 2.955574296688466802e+02
c_dk 0 0 5.559970921381958142e-01 2.936967128609572910e+02
c_dk 0 0 5.622866379023159222e-01 2.839675094147183358e+02
c_dk 0 0 5.686033203527380842e-01 2.778122901515445733e+02
c_dk 0 0 5.748823709563090079e-01 2.707897414390199060e+02
c_dk 0 0 5.811585199734176088e-01 2.649606111255556016e+02
c_dk 0 0 5.874446517276211699e-01 2.578269680185596826e+02
c_dk 0 0 5.937246335834056588e-01 2.541665352059056602e+02
c_dk 0 0 6.000023445208265693e-01 2.488190518554698940e+02
c_dk 0 0 6.062700655927123483e-01 2.427821470753494566e+02
c_dk 0 0 6.125564878198721530e-01 2.351325778864114113e+02
c_dk 0 0 6.188675697062213654e-01 2.319291019592425016e+02
c_dk 0 0 6.251436203714340056e-01 2.275902716853739207e+02
c_dk 0 0 6.314092032308914471e-01 2.231631571745115252e+02
c_dk 0 0 6.377070744462735030e-01 2.190219364195917535e+02
c_dk 0 0 6.439915699782213787e-01 2.133319793044385619e+02
c_dk 0 0 6.502746657481665027e-01 2.102787563641032307e+02
c_dk 0 0 6.565654463687421449e-01 2.061300812178301101e+02
c_dk 0 0 6.628457378217490481e-01 2.020472144747193113e+02
c_dk 0 0 6.691273712706959920e-01 1.976563130319049435e+02
c_dk 0 0 6.754135024521100705e-01 1.939053005584346181e+02
c_dk 0 0 6.816942288653291548e-01 1.902004204539269381e+02
c_dk 0 0 6.879707219643064198e-01 1.882012067939990629e+02
c_dk 0 0 6.942401964891569133e-01 1.821127004796605036e+02
c_dk 0 0 7.005213539313046578e-01 1.796872718802278541e+02
c_dk 0 0 7.068163049835881617e-01 1.754159343568025520e+02
c_dk 0 0 7.131046379544038194e-01 1.726830302581690262e+02
c_dk 0 0 7.193979933183044517e-01 1.713602123460974553e+02
c_dk 0 0 7.256912769458278012e-01 1.669556349395674033e+02
c_dk 0 0 7.319732112087881104e-01 1.639027445689368676e+02
c_dk 0 0 7.382575498732680819e-01 1.620971505933863455e+02
c_dk 0 0 7.445309219837563663e-01 1.584327684258848024e+02
c_dk 0 0 7.507908721544984676e-01 1.566880085772679934e+02
c_dk 0 0 7.570762748651901353e-01 1.548337702153751820e+02
c_dk 0 0 7.633652442780797243e-01 1.522414239621578815e+02
c_dk 0 0 7.696523768503739094e-01 1.484595083666833091e+02
c_dk 0 0 7.759443911184177312e-01 1.464365270789148781e+02
c_dk 0 0 7.822388793759307291e-01 1.436456438732987522e+02
c_dk 0 0 7.885422505712965657e-01 1.426634573436133735e+02
c_dk 0 0 7.947958170677573708e-01 1.401818209322495647e+02
c_dk 0 0 8.010501857211035359e-01 1.378824009938017525e+02
c_dk 0 0 8.073371699120777123e-01 1.352807103313011510e+02
c_dk 0 0 8.136256953004623593e-01 1.335066758669363480e+02
c_dk 0 0 8.199185768310989220e-01 1.323003122874666815e+02
c_dk 0 0 8.261975950269245805e-01 1.290465738636538049e+02
c_dk 0 0 8.324916626456120294e-01 1.275619545458656034e+02
c_dk 0 0 8.387980487119468531e-01 1.261407663059893736e+02
c_dk 0 0 8.450681625339854230e-01 1.236921860115613327e+02
c_dk 0 0 8.513326310877129544e-01 1.217660446522636448e+02
c_dk 0 0 8.576229699198910650e-01 1.195581105230111660e+02
c_dk 0 0 8.639079722665760075e-01 1.179971375768980977e+02
c_dk 0 0 8.701845317394016899e-01 1.174540391272755073e+02
c_dk 0 0 8.764647451447489246e-01 1.155402895008107151e+02
c_dk 0 0 8.827524554796379874e-01 1.134102826029344584e+02
c_dk 0 0 8.890360933084631156e-01 1.122025698246844172e+02
c_dk 0 0 8.953122302139767674e-01 1.099253549897341458e+02
c_dk 0 0 9.015989135410911182e-01 1.086807347766905423e+02
c_dk 0 0 9.078856597069530077e-01 1.072358559054596441e+02
c_dk 0 0 9.141777176955673267e-01 1.053873655412083252e+02
c_dk 0 0 9.204705311210197305e-01 1.037844672813277924e+02
c_dk 0 0 9.267502199878263625e-01 1.032966250088258278e+02
c_dk 0 0 9.330346272813238029e-01 1.017050048264523241e+02
c_dk 0 0 9.393297286529698198e-01 1.006680242140484296e+02
c_dk 0 0 9.456020466528652912e-01 9.885346727674330225e+01
c_dk 0 0 9.518687891863797379e-01 9.774434332161908401e+01
c_dk 0 0 9.581418737840891042e-01 9.680028946277630553e+01
c_dk 0 0 9.644369887048810375e-01 9.563173050928874375e+01
c_dk 0 0 9.707375181351720617e-01 9.438639828686153521e+01
c_dk 0 0 9.770097663529486720e-01 9.243024660059921871e+01
c_dk 0 0 9.832835755838400527e-01 9.093204796394446987e+01
c_dk 0 0 9.895569992810110405e-01 9.123481496211999797e+01
c_dk 0 0 9.958480710782616763e-01 8.960219391097547259e+01
c_dk 0 0 1.002138575493429995e+00 8.822383239106527242e+01
c_dk 0 0 1.008406592376542843e+00 8.778177407919569930e+01
c_dk 0 0 1.014697842972237973e+00 8.667930573855598197e+01
c_dk 0 0 1.020995892874764666e+00 8.538221883583098304e+01
c_dk 0 0 1.027276368069287793e+00 8.452856671457337256e+01
c_dk 0 0 1.033563189136701643e+00 8.276357229780758473e+01
c_dk 0 0 1.039851148620366539e+00 8.215628186731576932e+01
c_dk 0 0 1.046127943161246687e+00 8.132736749350644345e+01
c_dk 0 0 1.052404895272092133e+00 8.104244142935581863e+01
c_dk 0 0 1.058683000430492127e+00 8.006155248312823858e+01
c_dk 0 0 1.064967127327474117e+00 7.853979534808472351e+01
c_dk 0 0 1.071258688161570438e+00 7.769512076156236446e+01
c_dk 0 0 1.077544330604543799e+00 7.716641600622777730e+01
c_dk 0 0 1.083828423436568711e+00 7.610749620296491003e+01
c_dk 0 0 1.090113342297217791e+00 7.509883861635884728e+01
c_dk 0 0 1.096393171946581147e+00 7.504353994440003817e+01
c_dk 0 0 1.102683425690332397e+00 7.380191319575251896e+01
c_dk 0 0 1.108964675464843452e+00 7.263252633088808352e+01
c_dk 0 0 1.115226705913353378e+00 7.186211491409493135e+01
c_dk 0 0 1.121503167812783808e+00 7.188395043234382342e+01
c_dk 0 0 1.127793382225193985e+00 7.058881992065367683e+01
c_dk 0 0 1.134092036465484288e+00 6.936100879246659190e+01
c_dk 0 0 1.140366923395659482e+00 6.899370700851217464e+01
c_dk 0 0 1.146641931784804447e+00 6.833382257307988539e+01
c_dk 0 0 1.152944617322677390e+00 6.756045502839806716e+01
c_dk 0 0 1.159230356871362666e+00 6.658070256864647263e+01
